date,open,high,low,close
2019-10-14,10.33,10.58,10.33,10.43
2019-10-11,10.03,10.24,9.98,10.2
2019-10-10,10.01,10.06,9.95,10.03
2019-10-09,10.15,10.15,9.9,10.0
2019-10-08,10.18,10.36,10.1,10.12
2019-09-30,10.13,10.42,10.03,10.18
2019-09-27,9.7,9.84,9.7,9.78
2019-09-26,9.73,9.79,9.7,9.72
2019-09-25,9.9,9.9,9.72,9.73
2019-09-24,9.86,9.91,9.82,9.85
2019-09-23,9.93,9.95,9.75,9.86
2019-09-20,10.01,10.04,9.91,9.91
2019-09-19,10.01,10.04,9.94,10.0
2019-09-18,10.02,10.02,9.96,10.0
2019-09-17,10.12,10.12,9.95,9.99
2019-09-16,10.18,10.25,10.12,10.17
2019-09-12,10.19,10.19,10.0,10.17
2019-09-11,10.15,10.21,10.11,10.14
2019-09-10,10.21,10.23,10.11,10.15
2019-09-09,10.26,10.3,10.14,10.2
2019-09-06,10.22,10.27,10.13,10.16
2019-09-05,10.12,10.33,10.12,10.18
2019-09-04,9.95,10.09,9.92,10.09
2019-09-03,10.04,10.04,9.94,10.01
2019-09-02,9.93,10.08,9.84,10.03
2019-08-30,9.89,10.14,9.89,9.93
2019-08-29,9.96,9.97,9.84,9.86
2019-08-28,9.88,9.96,9.81,9.9
2019-08-27,9.81,10.15,9.8,10.08
2019-08-26,9.81,9.84,9.72,9.77
2019-08-23,10.1,10.12,9.92,10.04
2019-08-22,10.19,10.2,10.02,10.08
2019-08-21,10.35,10.38,10.13,10.19
2019-08-20,10.22,10.47,10.13,10.14
2019-08-19,10.3,10.34,9.99,10.15
2019-08-16,9.6,9.62,9.52,9.56
2019-08-15,9.38,9.62,9.3,9.6
2019-08-14,9.61,9.63,9.52,9.56
2019-08-13,9.6,9.6,9.45,9.48
2019-08-12,9.68,9.72,9.55,9.64
2019-08-09,9.65,9.75,9.59,9.61
2019-08-08,9.63,9.69,9.58,9.6
2019-08-07,9.53,9.63,9.53,9.55
2019-08-06,9.78,9.78,9.35,9.52
2019-08-05,10.13,10.13,9.85,9.86
2019-08-02,10.16,10.18,10.1,10.12
2019-08-01,10.24,10.36,10.19,10.26
2019-07-31,10.35,10.4,10.27,10.35
2019-07-30,10.27,10.38,10.23,10.31
2019-07-29,10.32,10.35,10.21,10.25
2019-07-26,10.29,10.36,10.2,10.32
2019-07-25,10.4,10.45,10.27,10.3
2019-07-24,10.36,10.46,10.3,10.36
2019-07-23,10.2,10.38,10.2,10.26
2019-07-22,10.38,10.39,10.15,10.15
2019-07-19,10.39,10.55,10.32,10.37
2019-07-18,10.47,10.51,10.35,10.36
2019-07-17,10.44,10.62,10.38,10.55
2019-07-16,10.36,10.45,10.3,10.39
2019-07-15,10.39,10.51,10.15,10.43
2019-07-12,10.58,10.58,10.25,10.42
2019-07-11,10.9,10.98,10.56,10.58
2019-07-10,11.05,11.31,10.84,10.91
2019-07-09,10.52,11.53,10.28,11.05
2019-07-08,10.84,10.85,10.43,10.48
2019-07-05,10.76,10.85,10.71,10.83
2019-07-04,10.72,10.85,10.68,10.72
2019-07-03,10.78,10.85,10.63,10.72
2019-07-02,10.88,10.94,10.66,10.73
2019-07-01,10.93,10.98,10.78,10.88
2019-06-28,10.73,10.75,10.56,10.68
2019-06-27,13.43,13.57,13.35,13.43
2019-06-26,13.48,13.48,13.34,13.42
2019-06-25,13.51,13.51,13.2,13.44
2019-06-24,13.44,13.5,13.33,13.47
2019-06-21,13.01,13.34,13.01,13.3
2019-06-20,12.74,13.1,12.69,13.0
2019-06-19,12.75,12.98,12.73,12.74
2019-06-18,12.56,12.57,12.4,12.53
2019-06-17,12.35,12.54,12.34,12.53
2019-06-14,12.57,12.64,12.33,12.4
2019-06-13,12.51,12.62,12.4,12.57
2019-06-12,12.63,12.67,12.5,12.58
2019-06-11,12.26,12.65,12.26,12.63
2019-06-10,12.28,12.33,12.07,12.26
2019-06-06,12.22,12.3,12.1,12.12
2019-06-05,12.45,12.49,12.27,12.31
2019-06-04,12.26,12.35,12.24,12.3
2019-06-03,12.45,12.57,12.2,12.26
2019-05-31,12.69,12.74,12.38,12.43
2019-05-30,12.65,12.68,12.45,12.66
2019-05-29,12.77,12.8,12.66,12.68
2019-05-28,12.77,12.9,12.66,12.82
2019-05-27,12.5,12.78,12.47,12.73
2019-05-24,12.54,12.67,12.46,12.51
2019-05-23,12.73,12.78,12.48,12.51
2019-05-22,12.86,12.92,12.73,12.76
2019-05-21,12.6,12.92,12.6,12.8
2019-05-20,12.55,12.68,12.32,12.63
2019-05-17,13.0,13.06,12.55,12.58
2019-05-16,12.93,13.06,12.88,13.05
2019-05-15,12.88,13.04,12.8,12.92
2019-05-14,12.5,12.92,12.5,12.8
2019-05-13,12.6,12.84,12.56,12.66
2019-05-10,12.35,12.78,12.22,12.74
2019-05-09,12.41,12.61,12.29,12.33
2019-05-08,12.65,12.95,12.51,12.7
2019-05-07,12.92,13.04,12.64,12.84
2019-05-06,13.53,13.55,12.73,12.89
2019-04-30,14.11,14.29,14.01,14.14
2019-04-29,14.53,14.53,14.13,14.2
2019-04-26,14.39,14.55,14.18,14.22
2019-04-25,15.12,15.13,14.39,14.4
2019-04-24,14.97,15.16,14.83,15.13
2019-04-23,15.07,15.21,14.93,14.94
2019-04-22,15.38,15.57,14.88,15.03
2019-04-19,15.35,15.37,15.08,15.36
2019-04-18,15.5,15.5,15.29,15.3
2019-04-17,15.41,15.65,15.3,15.53
2019-04-16,15.05,15.46,14.87,15.4
2019-04-15,15.42,15.52,15.05,15.08
2019-04-12,15.32,15.41,14.99,15.2
2019-04-11,15.5,15.63,15.21,15.3
2019-04-10,15.6,15.73,15.31,15.5
2019-04-09,15.68,15.89,15.54,15.81
2019-04-08,16.0,16.24,15.42,15.69
2019-04-04,15.76,16.31,15.61,15.95
2019-04-03,15.06,15.89,15.0,15.8
2019-04-02,15.12,15.26,14.95,15.06
2019-04-01,15.24,15.26,14.9,15.11
2019-03-29,14.08,15.04,13.99,14.92
2019-03-28,14.0,14.28,13.9,14.04
2019-03-27,13.56,13.8,13.43,13.79
2019-03-26,13.9,13.96,13.53,13.55
2019-03-25,13.82,14.28,13.7,13.92
2019-03-22,13.84,14.03,13.76,14.0
2019-03-21,13.87,14.04,13.72,13.88
2019-03-20,13.86,13.96,13.58,13.8
2019-03-19,14.24,14.24,13.81,13.89
2019-03-18,13.76,14.3,13.57,14.14
2019-03-15,13.46,13.73,13.32,13.69
2019-03-14,13.27,13.57,13.2,13.4
2019-03-13,13.49,13.53,13.16,13.25
2019-03-12,13.39,13.58,13.22,13.42
2019-03-11,12.87,13.4,12.85,13.35
2019-03-08,13.43,13.43,12.87,12.87
2019-03-07,13.75,13.78,13.46,13.58
2019-03-06,13.72,13.92,13.5,13.74
2019-03-05,13.49,13.72,13.41,13.7
2019-03-04,13.62,13.89,13.42,13.5
